,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,겨울간식의 왕 치즈감자호떡 만들기,2020. 1. 2.,"6,780회",201개,8개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,새해 몸보신은 소갈비탕 #맛있게 끓이는 법,2019. 12. 31.,"8,332회",193개,1개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,새해맞이 떡국 맛있게 끓이는 법_  정성가득 행복을 불러줄 레시피,2019. 12. 29.,"5,549회",164개,1개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,최고의 술안주 매콤닭꼬치&간장닭꼬치 쉽고 맛있게 만드는 법,2019. 12. 27.,"33,638회",443개,7개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,매콤등갈비+간장등갈비 후회없는 역대급 레시피,2019. 12. 25.,"152,712회",1.2천개,57개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,대박집 대구탕 비법 레시피_ 대가의 특별한 육수와 손질 꿀팁,2019. 12. 23.,"5,730회",129개,6개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,크림파스타 만들기_ 새우와 베이컨으로 고소하고 맛있는 레시피,2019. 12. 22.,"9,509회",212개,4개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,깍두기 맛있게 담그는 법_ 맛집보다 맛있는 깍두기 쉽게 만들기,2019. 12. 20.,"9,453회",198개,6개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,느낌있는 연말/새해맞이 초대요리 만들기 이렇게 하면 끝장남,2019. 12. 18.,"124,043회",1.5천개,63개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,두부조림 맛있게 만드는 법_ 기가막힌 양념장의 비법 레시피,2019. 12. 16.,"44,224회",581개,21개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,피자보다 맛있는 양송이치즈구이 쉽고 간단하게 만드는 법,2019. 12. 14.,"21,561회",398개,12개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,치킨보다 맛있는 닭날개조림 쉽고 간단하게 만드는 법,2019. 12. 13.,"762,804회",8천개,173개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,동태찌개 맛있게 끓이는 법_ 칼칼하고 시원한 겨울철 최고의 국물요리,2019. 12. 11.,"18,668회",331개,8개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,양송이버섯조림 맛있게 만드는 법_ 짭쪼름하면서 고급진 꿀맛 레시피,2019. 12. 9.,"11,879회",200개,8개
0,소소황 Cook & Eat - YouTube,구독자 12.7만명,구수하고 얼큰한 '시락국/시래기국' 맛있게 끓이는 법,2019. 12. 7.,"20,368회",318개,11개
