,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num,youtuber_id,clean_name
90,승우아빠 ,442000000,판매 자체가 불법이었던 그 제품은 지금 어떻게 됐을까?,2019-12-29,123920,190000,40,1,판매 자체 불법 그 제품 지금 어떻다 돼다
91,승우아빠 ,442000000,최현석 셰프는 왜 자신의 이름을 건 레스토랑을 떠났을까,2019-12-28,399368,850000,357,1,최현석 셰프 왜 자신 이름 건 레스토랑 떠나다
92,승우아빠 ,442000000,국밥은 정말 가성비가 좋을까?,2019-12-27,300329,440000,119,1,국밥 정말 가성 비 좋다
93,승우아빠 ,442000000,34만 유튜브 채널에서 1년동안 벌어진 일,2019-12-25,148173,340000,56,1,유튜브 채널 년 동안 벌어지다 일
94,승우아빠 ,442000000,이 간단한 것을 실패한다면 제가 벌칙을 받겠습니다... 연말을 위한 간단 파티요리,2019-12-23,264080,410000,70,1,간단하다 것 실패하다 제 벌칙 받다 연말 위 간단 파티 요리
95,승우아빠 ,442000000,포방터 돈가스집 연돈 이슈 정리와 전통시장 상인회에 대한 개인적인 경험담,2019-12-22,306868,390000,176,1,포방터 돈가스 집 연 돈 이슈 정리 전통 시장 상인 회 대한 개인 적 인 경 험담
96,승우아빠 ,442000000,냉동 차돌박이를 더 맛있게 먹는 7가지 방법,2019-12-20,145428,270000,34,1,냉동 차돌박이 더 먹다 가지 방법
97,승우아빠 ,442000000,3배 식초는 정말로 3배가 맞을까?,2019-12-18,55152,120000,13,1,배 식초 정말로 배 맞다
98,승우아빠 ,442000000,세상 간단한 달걀 요리 N가지,2019-12-16,502207,650000,163,1,세상 간단하다 달걀 요리 N 가지
99,승우아빠 ,442000000,배달의 민족과 요기요는 이제 한가족 입니다,2019-12-15,96485,190000,35,1,배달 민족 요 기요 이제 가족
100,승우아빠 ,442000000,너무 궁금해서 세번째 물어봅니다,2019-12-14,81234,140000,16,1,너무 궁금하다 세번 째다 물어보다
101,승우아빠 ,442000000,기름 한컵으로 튀기는 한끼 치킨,2019-12-13,241607,420000,92,1,기름 컵 튀기다 끼 치킨
102,승우아빠 ,442000000,감자튀김을 여섯배 더 맛있게 먹는 방법을 소개합니다 (옆구리 주의),2019-12-11,208645,340000,57,1,감자 튀김 여섯 배 더 먹다 방법 소개 옆구리 주의
